"","created_by_factor","category_factor","symptom_error_code_factor","product_factor","sub_product_factor","package_name_factor","cause_category_factor","cause_code_factor","resolution_code_factor","closure_category_factor","resolution_team_factor","service_affected_factor","btu_type_factor","owner_factor","group_owner_factor","btu_platform_factor","dp_location_factor","closed_by_factor","fdp_device_name_factor","fdp_site_name_factor","olt_site_name_factor","exchange_factor","zone_name_factor","district_factor","state_factor","region_factor"
"88",43,1,8,4,9,7,3,19,1,4,9,6,2,16,6,2,3,16,19,19,1,1,1,1,1,1
"89",61,1,11,1,5,3,3,4,1,4,12,5,3,64,2,3,1,64,78,78,35,2,1,1,1,1
"90",43,1,11,4,9,7,3,2,1,4,19,4,1,62,7,1,3,62,38,38,21,2,1,1,1,1
"91",63,1,11,4,9,7,5,1,7,4,10,4,3,24,6,3,1,25,64,64,22,2,1,1,1,1
"92",34,1,11,1,5,3,3,3,1,4,10,5,3,2,5,3,1,2,26,26,6,1,1,1,1,1
"93",16,1,11,1,5,3,5,1,7,4,10,5,3,52,5,3,2,52,80,80,37,2,1,1,1,1
"94",46,1,11,4,11,9,8,26,3,4,10,4,2,55,6,2,3,55,10,10,1,1,1,1,1,1
"95",55,1,11,1,4,2,3,4,17,4,15,1,3,59,2,3,1,59,79,79,36,2,1,1,1,1
"96",38,1,11,5,15,7,3,4,1,4,12,8,3,48,2,3,1,48,31,31,11,1,1,1,1,1
"97",8,1,19,2,13,2,3,4,1,4,12,8,2,14,2,2,5,14,59,59,18,2,1,1,1,1
"98",11,1,20,4,9,7,3,4,1,4,5,1,3,26,1,3,1,27,22,22,2,1,1,1,1,1
"99",9,2,9,4,9,7,3,4,1,4,13,1,2,17,2,2,5,17,5,5,1,1,1,1,1,1
"100",43,1,11,4,9,7,2,28,29,4,10,4,3,25,1,3,1,26,28,28,8,1,1,1,1,1
