tt_num,ccat_before,ccat_after,symp_before,symp_after,cc_before,cc_after,rc_before,rc_after
1-10748401283,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Internal Wiring,null,Advise Customer
1-10748403762,null,Customer,Wireless not detected,Wireless not detected,null,Clear While Localising,null,Advise Customer
1-10748420408,null,LocalAccess,VoBB Down,VoBB Down,null,FDP_FASC Connector Faulty,null,FDP_FASC_Connector_Replaced
1-10748424535,null,LocalAccess,Frequent disconnection,Frequent disconnection,null,Tie_Copper Problem,null,Jumper Changed
1-10748501908,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Faulty,null,PG_Replaced
1-10748502376,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Normalise_CPE Connection
1-10748508809,null,Access Network,Frequent disconnection,Frequent disconnection,null,EQMT_MSAN VDSL2 card faulty,null,MSAN PON card reset
1-10748550530,null,LocalAccess,Line Disconnect,Line Disconnect,null,Drop Fiber Core Break,null,E/S Fiber cable restored
1-10748552555,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Behaviour,null,Advise Customer
1-10748560612,null,BTU,Line Disconnect,Line Disconnect,null,VDSL Modem Faulty,null,VDSL_Replaced
1-10748586671,null,Access Network,Intermittent,Intermittent,null,EQMT_MSAN POTS card faulty,null,Port Reset
1-10748594958,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Advise Customer
1-10748595080,null,Customer,STB Not Responding,STB Not Responding,null,Clear While Localising,null,Advise Customer
1-10748701518,null,Customer,No Dial Tone,No Dial Tone,null,Clear While Localising,null,Advise Customer
1-10748701909,null,Customer,Line Disconnect,Line Disconnect,null,ONU_Faulty,null,Others
1-10748702381,null,TM_CPE,Wireless frequent disconn.,Wireless frequent disconn.,null,TM_CPE_PG Hang,null,PG_Reset
1-10748733641,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Faulty,null,ONU_Replaced
1-10748737987,null,Third Party Damage,Line Disconnect,Line Disconnect,null,Drop/Internal Fiber Damage,null,3rd Party_Drop/Int.FiberReplce
1-10748761212,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Faulty,null,ONU_Replaced
1-10748803729,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Hang,null,PG_Config_Changed
1-10748804110,null,BTU,Line down,Line down,null,VDSL Modem Faulty,null,VDSL_Modem&DectPhone_Replaced
1-10748832351,null,BTU,Silent  BTU,Silent  BTU,null,ONU_Power Adaptor,null,Power Adaptor Replaced
1-10748841060,null,Third Party Damage,Line Disconnect,Line Disconnect,null,Drop/Internal Fiber Damage,null,3rd Party_Drop/Int.FiberReplce
1-10748842823,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Hang,null,PG_Config_Changed
1-10748848363,null,Access Network,Slow Browsing,Slow Browsing,null,MSAN config.problem,null,MSAN reconfigured
1-10748859892,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_STB Faulty,null,STB_Replaced
1-10748860212,null,TM_CPE,Wireless not detected,Wireless not detected,null,TM_CPE_PG Faulty,null,PG_Reset
1-10748884589,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Behaviour,null,Advise Customer
1-10748884950,null,BTU,Slow browsing all webs,Slow browsing all webs,null,ONU_Faulty,null,ONU_Replaced
1-10748906225,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_FTB FASC Connector Faulty,null,Connector_Replaced
1-10748920267,null,Customer,Slow browsing all webs,Slow browsing all webs,null,Cust_PC Issue/Faulty,null,Advise Customer
1-10748973940,null,LocalAccess,Line Disconnect,Line Disconnect,null,FDP_Low Signal,null,FDP_Repaired
1-10749015564,null,Customer,Intermittent,Intermittent,null,Customer_Behaviour,null,Advise Customer
1-10749043713,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_FTB Low Signal,null,Connector_Replaced
1-10749043830,null,TM_CPE,Slow downloading rate,Slow downloading rate,null,TM_CPE_PG_Wireless Coverage,null,Change Wireless Channel Mode
1-10749055666,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Faulty,null,PG_Reset
