,trouble_ticket_id,Cause_code,acc,account,acct,acknowledge,active,address,addressing,advice,advise,advised
292,1-28NF8ZI,MSAN patch cord at cabinet,0,1,1,0,1,2,1,3,0,0
293,1-28N7Y71,Clear While Localising,1,2,1,0,1,3,1,0,0,0
294,1-28N56RF,User_Account,0,1,2,0,1,4,1,3,0,0
295,1-28N7OBL,Other_Fault,1,2,1,0,1,2,1,2,0,1
296,1-28N6BFB,FOC_D/S Cable Damage,0,4,1,0,1,2,1,1,0,1
297,1-28N448E,VDSL Modem Faulty,0,4,1,0,1,2,1,1,0,0
298,1-28MZCHF,Cabinet/SDF Jumper Faulty,0,2,1,0,1,2,1,1,0,2
299,1-28N1BNF,Clear While Localising,0,3,1,1,1,2,1,3,3,0
300,1-28MSSMS,TM_CPE_PG Faulty,0,1,1,0,0,2,0,2,0,0
301,1-28MLVUJ,VDSL Modem Config Problem,0,1,1,0,1,3,1,1,0,0
302,1-28MS80X,TM_CPE_IW_RJ11 Faulty,0,1,1,0,1,2,1,3,0,0
303,1-28MLZFX,Customer_Tie\Riser Low Quality,1,2,1,0,1,3,1,0,0,0
304,1-28M95EL,FDP_FASC Connector Faulty,0,1,2,0,1,4,1,3,0,0
305,1-28MJ7TJ,VDSL Modem Faulty,1,2,1,0,1,2,1,2,0,1
306,1-28LZCFG,Clear While Localising,0,4,1,0,1,2,1,1,0,1
307,1-28M0GC3,TM_CPE_PG Faulty,0,4,1,0,1,2,1,1,0,0
308,1-28LI0SN,TM_CPE_PG Config Problem,0,2,1,0,1,2,1,1,0,2
309,1-28LR7FJ,VDSL Modem Config Problem,0,3,1,1,1,2,1,3,3,0
310,1-28LLCH0,TM_CPE_PG Config Problem,0,1,1,0,0,2,0,2,0,0
311,1-28LOGJA,Other_Fault,0,1,1,0,1,3,1,1,0,0
312,1-28LBLQO,Other_Fault,0,1,1,0,1,2,1,3,0,0
313,1-28L9DMD,Clear While Localising,1,2,1,0,1,3,1,0,0,0
314,1-28LAHYC,FOC_D/S Cable Damage,0,1,2,0,1,4,1,3,0,0
315,1-28L4UTA,FOC_D/S Cable Damage,1,2,1,0,1,2,1,2,0,1
316,1-28L0DOQ,TM_CPE_PG Config Problem,0,4,1,0,1,2,1,1,0,1
317,1-28L72RF,FDP_Damage,0,4,1,0,1,2,1,1,0,0
318,1-28KTWO3,Clear While Localising,0,2,1,0,1,2,1,1,0,2
319,1-28KMBAF,VDSL Modem Faulty,0,3,1,1,1,2,1,3,3,0
320,1-28KQ6KH,TM_CPE_PG Faulty,0,1,1,0,0,2,0,2,0,0
321,1-28J7B4H,VDSL Modem Faulty,0,1,1,0,1,3,1,1,0,0
322,1-28KMYB8,ONU_Power Adaptor,0,1,1,0,1,2,1,3,0,0
323,1-28HM9TA,TM_FTB FASC Connector Faulty,1,2,1,0,1,3,1,0,0,0
324,1-28IKB6L,Customer_Internal Wiring,0,1,2,0,1,4,1,3,0,0
325,1-28KMY45,VDSL Modem Faulty,1,2,1,0,1,2,1,2,0,1
326,1-28HO2R5,STB_Faulty,0,4,1,0,1,2,1,1,0,1
327,1-28HQDQD,VDSL_Modem Power Adaptor,0,4,1,0,1,2,1,1,0,0
328,1-28HWZOA,Customer Defer Appointment,0,2,1,0,1,2,1,1,0,2
329,1-28HNL41,Cabinet/SDF Jumper Faulty,0,3,1,1,1,2,1,3,3,0
330,1-28HNODJ,FDP_Damage,0,1,1,0,0,2,0,2,0,0
331,1-28HBOKT,Customer_Tie\Riser Low Quality,0,1,1,0,1,3,1,1,0,0
332,1-28HG6R9,Drop Fiber Damage,0,1,1,0,1,2,1,3,0,0
333,1-28HL4BD,Other_Fault,1,2,1,0,1,3,1,0,0,0
334,1-28GC7PB,Clear While Localising,0,1,2,0,1,4,1,3,0,0
335,1-28G99WO,TM_CPE_PG Faulty,1,2,1,0,1,2,1,2,0,1
336,1-28GRX8A,EQMT_GE port faulty,0,4,1,0,1,2,1,1,0,1
337,1-28FZJGP,VDSL Modem Faulty,0,4,1,0,1,2,1,1,0,0
338,1-28FW09C,TM_FTB FASC Connector Faulty,0,2,1,0,1,2,1,1,0,2
339,1-28FZ0P1,VDSL Modem Faulty,0,3,1,1,1,2,1,3,3,0
340,1-28G7QT3,Clear While Localising,0,1,1,0,0,2,0,2,0,0
341,1-28FXRUY,Customer Defer Appointment,0,1,1,0,1,3,1,1,0,0
342,1-28FU5FV,TM_CPE_PG Faulty,0,1,1,0,1,2,1,3,0,0
343,1-28FUN38,Cust_PhoneWallSocketFaulty,1,2,1,0,1,3,1,0,0,0
344,1-28FRHQ2,Customer Defer Appointment,0,1,2,0,1,4,1,3,0,0
345,1-28FJDFV,Cabinet/SDF Jumper Faulty,1,2,1,0,1,2,1,2,0,1
346,1-28FGG04,STB_Faulty,0,4,1,0,1,2,1,1,0,1
347,1-28F4KL6,TM_CPE_IW_RJ11 Faulty,0,4,1,0,1,2,1,1,0,0
348,1-28FJ8LS,EQMT_GE port faulty,0,2,1,0,1,2,1,1,0,2
349,1-28FGFVF,TM_CPE_PG Hang,0,3,1,1,1,2,1,3,3,0
350,1-28FCRTB,VDSL Modem Config Problem,0,1,1,0,0,2,0,2,0,0
351,1-28F33BE,Cabinet/SDF Jumper Faulty,0,1,1,0,1,3,1,1,0,0
352,1-28F3NR8,Customer Defer Appointment,0,1,1,0,1,2,1,3,0,0
353,1-28F3TD1,Clear While Localising,1,2,1,0,1,3,1,0,0,0
354,1-28F0D4N,Drop Fiber Damage,0,1,2,0,1,4,1,3,0,0
355,1-28ER2HK,TM_FTB FASC Connector Faulty,1,2,1,0,1,2,1,2,0,1
356,1-28EXF63,FOC_D/S Cable Damage,0,4,1,0,1,2,1,1,0,1
357,1-28EWGE5,Cabinet/SDF Jumper Faulty,0,4,1,0,1,2,1,1,0,0
358,1-28EO0W2,ONU_Faulty,0,2,1,0,1,2,1,1,0,2
359,1-28EJ77H,VDSL Modem Faulty,0,3,1,1,1,2,1,3,3,0
360,1-28EO0DF,Clear While Localising,0,1,1,0,0,2,0,2,0,0
361,1-28EL4KG,TM_CPE_PG Config Problem,0,1,1,0,1,3,1,1,0,0
362,1-28EE9KP,VDSL Modem Faulty,0,1,1,0,1,2,1,3,0,0
363,1-28EK10S,Clear While Localising,1,2,1,0,1,3,1,0,0,0
364,1-28EH433,Clear While Localising,0,1,2,0,1,4,1,3,0,0
365,1-WQUE8T,Caused By NTT,1,2,1,0,1,2,1,2,0,1
366,1-WQO0IM,Premise Closed,0,4,1,0,1,2,1,1,0,1
367,1-WQTRII,Clear While Localising,0,4,1,0,1,2,1,1,0,0
368,1-WQTB9M,TM_CPE_STB Faulty,0,2,1,0,1,2,1,1,0,2
369,1-WQNXRQ,Customer_Behaviour,0,3,1,1,1,2,1,3,3,0
370,1-WQII6V,HomePlug_Faulty,0,1,1,0,0,2,0,2,0,0
371,1-WQN070,Customer_Behaviour,0,1,1,0,1,3,1,1,0,0
372,1-WQN4XP,Customer_Behaviour,0,1,1,0,1,2,1,3,0,0
373,1-WQIUDF,TM_CPE_PG Faulty,1,2,1,0,1,3,1,0,0,0
374,1-WQGN14,Customer_Behaviour,0,1,2,0,1,4,1,3,0,0
375,1-WQJ85A,Customer_Behaviour,1,2,1,0,1,2,1,2,0,1
376,1-WQI77Z,Customer_Behaviour,0,4,1,0,1,2,1,1,0,1
377,1-WQH7SA,Customer_Behaviour,0,4,1,0,1,2,1,1,0,0
378,1-WQI6AY,Customer_Behaviour,0,2,1,0,1,2,1,1,0,2
379,1-WQH7GS,Clear While Localising,0,3,1,1,1,2,1,3,3,0
380,1-WQITTT,Customer_Behaviour,0,1,1,0,0,2,0,2,0,0
381,1-WQH3NR,Customer_Behaviour,0,1,1,0,1,3,1,1,0,0
382,1-WQGHH7,TM_CPE_PG Config Problem,0,1,1,0,1,2,1,3,0,0
383,1-WQH76D,User_Account,1,2,1,0,1,3,1,0,0,0
384,1-WQE7DQ,Customer_Behaviour,0,1,2,0,1,4,1,3,0,0
385,1-WQF5W3,EQMT_MSAN configuration lost,1,2,1,0,1,2,1,2,0,1
386,1-WQ8NQ0,Customer_Behaviour,0,4,1,0,1,2,1,1,0,1
387,1-WQ98YP,Clear While Localising,0,4,1,0,1,2,1,1,0,0
388,1-WQ8630,TM_FTB FASC Connector Faulty,0,2,1,0,1,2,1,1,0,2
389,1-WQ7N69,Clear While Localising,0,3,1,1,1,2,1,3,3,0
390,1-WQ3LQF,Other_Fault,0,1,1,0,0,2,0,2,0,0
391,1-WQ51TM,Customer_Behaviour,0,1,1,0,1,3,1,1,0,0
392,1-WQ0NG8,Customer_Behaviour,0,1,1,0,1,2,1,3,0,0
393,1-WQ0B2F,Customer_Behaviour,1,2,1,0,1,3,1,0,0,0
